[Ср 01 апр 2026 18:40:35 MSK] Запуск: /home/atretyakov/railoptim/target/release/railoptim (env=prod)
Получено узлов спроса:       266
Получено узлов предложения:  205
Получено тарифов:            12436
Всего пар supply×demand:     54530
  без тарифа:                2095 (3.8%)
  нарушение срока:           22245 (40.8%)
  несовм. тип вагона:        1449 (2.7%)
Допустимых дуг в LP:         29473 (54.0%)
--- АНАЛИЗ РЕСУРСОВ ---
Предложение: 886 ваг.
Спрос:       3167 ваг.
Статус: ДЕФИЦИТ  (2281 ваг. — штрафные дуги)
-----------------------
--- ЖАДНОЕ РЕШЕНИЕ ---
Назначений:            263 шт.
Назначено вагонов:     886 / 3167 спрос, 886 предложение
Суммарная стоимость:   23118018.60 руб.
Неудовлетворён спрос:  2281 ваг.
Избыток предложения:   0 ваг.
Покрытие спроса:       28.0%
----------------------
--- ALNS СТАРТ ---
Начальная стоимость: 23118018.60 руб.
Назначений:          263
Бюджет времени:      300 сек.
------------------
[iter  2593] ✓ улучшение 1103.01 руб. | стоимость 22777093.40 | K=33%
[iter  2610] ✓ улучшение 0.00 руб. | стоимость 22777093.40 | K=32%
[iter  2712] ✓ улучшение 72332.82 руб. | стоимость 22704760.58 | K=35%
[iter  2713] ✓ улучшение 14979.10 руб. | стоимость 22689781.48 | K=34%
[iter  2714] ✓ улучшение 2746.98 руб. | стоимость 22687034.50 | K=33%
[iter  2715] ✓ улучшение 57460.43 руб. | стоимость 22629574.07 | K=32%
[iter  2717] ✓ улучшение 47604.16 руб. | стоимость 22581969.91 | K=31%
[iter  2718] ✓ улучшение 0.00 руб. | стоимость 22581969.91 | K=30%
[iter  2819] ✓ улучшение 59008.24 руб. | стоимость 22522961.67 | K=33%
[iter  2820] ✓ улучшение 59008.24 руб. | стоимость 22463953.43 | K=32%
[iter  2822] ✓ улучшение 0.00 руб. | стоимость 22463953.43 | K=31%
[iter  2823] ✓ улучшение 0.00 руб. | стоимость 22463953.43 | K=30%
[iter  2974] ✓ улучшение 49342.93 руб. | стоимость 22414610.50 | K=35%
[iter  2975] ✓ улучшение 0.00 руб. | стоимость 22414610.50 | K=34%
[iter  2979] ✓ улучшение 35703.12 руб. | стоимость 22378907.38 | K=33%
[iter  2980] ✓ улучшение 0.00 руб. | стоимость 22378907.38 | K=32%
[iter  2982] ✓ улучшение 0.00 руб. | стоимость 22378907.38 | K=31%
[iter  3064] ✓ улучшение 0.00 руб. | стоимость 22378907.38 | K=32%
[iter  3166] ✓ улучшение 0.00 руб. | стоимость 22378907.38 | K=35%
[iter  3217] ✓ улучшение 49342.93 руб. | стоимость 22329564.45 | K=36%
[iter  3250] ✓ улучшение 0.00 руб. | стоимость 22329564.45 | K=35%
[iter  3301] ✓ улучшение 154946.22 руб. | стоимость 22174618.23 | K=36%
[iter  3302] ✓ улучшение 48818.60 руб. | стоимость 22125799.63 | K=35%
[iter  3303] ✓ улучшение 46148.23 руб. | стоимость 22079651.40 | K=34%
[iter  3304] ✓ улучшение 2130.30 руб. | стоимость 22077521.10 | K=33%
[iter  3305] ✓ улучшение 41487.20 руб. | стоимость 22036033.90 | K=32%
[iter  3306] ✓ улучшение 0.00 руб. | стоимость 22036033.90 | K=31%
[iter  3307] ✓ улучшение 84020.53 руб. | стоимость 21952013.37 | K=30%
[iter  3313] ✓ улучшение 0.00 руб. | стоимость 21952013.37 | K=29%
[iter  3336] ✓ улучшение 0.00 руб. | стоимость 21952013.37 | K=28%
[iter  3537] ✓ улучшение 7450.80 руб. | стоимость 21944562.57 | K=35%
[iter  3540] ✓ улучшение 1080.14 руб. | стоимость 21943482.43 | K=34%
[iter  3541] ✓ улучшение 0.00 руб. | стоимость 21943482.43 | K=33%
[iter  3542] ✓ улучшение 2684.61 руб. | стоимость 21940797.82 | K=32%
[iter  3543] ✓ улучшение 540.07 руб. | стоимость 21940257.75 | K=31%
[iter  3544] ✓ улучшение 0.00 руб. | стоимость 21940257.75 | K=30%
[iter  3545] ✓ улучшение 0.00 руб. | стоимость 21940257.75 | K=29%
[iter  3796] ✓ улучшение 34381.67 руб. | стоимость 21905876.08 | K=38%
[iter  3797] ✓ улучшение 2382.60 руб. | стоимость 21903493.48 | K=37%
[iter  3801] ✓ улучшение 9875.28 руб. | стоимость 21893618.20 | K=36%
[iter  3802] ✓ улучшение 0.00 руб. | стоимость 21893618.20 | K=35%
[iter  3804] ✓ улучшение 0.00 руб. | стоимость 21893618.20 | K=34%
[iter  3813] ✓ улучшение 0.00 руб. | стоимость 21893618.20 | K=33%
[iter  3859] ✓ улучшение 0.00 руб. | стоимость 21893618.20 | K=32%
[iter  4060] ✓ улучшение 17947.93 руб. | стоимость 21875670.27 | K=39%
[iter  4061] ✓ улучшение 5661.93 руб. | стоимость 21870008.34 | K=38%
[iter  4062] ✓ улучшение 9316.00 руб. | стоимость 21860692.34 | K=37%
[iter  4063] ✓ улучшение 0.00 руб. | стоимость 21860692.34 | K=36%
[iter  4064] ✓ улучшение 2719.80 руб. | стоимость 21857972.54 | K=35%
[iter  4065] ✓ улучшение 0.00 руб. | стоимость 21857972.54 | K=34%
[iter  4089] ✓ улучшение 0.00 руб. | стоимость 21857972.54 | K=33%
[iter  4122] ✓ улучшение 0.00 руб. | стоимость 21857972.54 | K=32%
[iter  4323] ✓ улучшение 41541.83 руб. | стоимость 21816430.71 | K=39%
[iter  4324] ✓ улучшение 0.00 руб. | стоимость 21816430.71 | K=38%
[iter  4325] ✓ улучшение 4510.46 руб. | стоимость 21811920.25 | K=37%
[iter  4326] ✓ улучшение 1319.33 руб. | стоимость 21810600.92 | K=36%
[iter  4328] ✓ улучшение 0.00 руб. | стоимость 21810600.92 | K=35%
[iter  4329] ✓ улучшение 152.74 руб. | стоимость 21810448.18 | K=34%
[iter  4330] ✓ улучшение 0.00 руб. | стоимость 21810448.18 | K=33%
[iter  4331] ✓ улучшение 0.00 руб. | стоимость 21810448.18 | K=32%
[iter  4332] ✓ улучшение 0.00 руб. | стоимость 21810448.18 | K=31%
[iter  4335] ✓ улучшение 0.00 руб. | стоимость 21810448.18 | K=30%
[iter  4410] ✓ улучшение 0.00 руб. | стоимость 21810448.18 | K=31%
[iter  4661] ✓ улучшение 5953.36 руб. | стоимость 21804494.82 | K=40%
[iter  4663] ✓ улучшение 305.48 руб. | стоимость 21804189.34 | K=39%
[iter  4667] ✓ улучшение 0.00 руб. | стоимость 21804189.34 | K=38%
[iter  4673] ✓ улучшение 0.00 руб. | стоимость 21804189.34 | K=37%
[iter  4824] ✓ улучшение 4882.38 руб. | стоимость 21799306.96 | K=42%
[iter  4847] ✓ улучшение 113.78 руб. | стоимость 21799193.18 | K=41%
[iter  4850] ✓ улучшение 0.00 руб. | стоимость 21799193.18 | K=40%
[iter  4952] ✓ улучшение 512.56 руб. | стоимость 21798680.62 | K=43%
[iter  4953] ✓ улучшение 0.00 руб. | стоимость 21798680.62 | K=42%
[iter  4955] ✓ улучшение 0.00 руб. | стоимость 21798680.62 | K=41%
[iter  4968] ✓ улучшение 0.00 руб. | стоимость 21798680.62 | K=40%
[iter  4993] ✓ улучшение 0.00 руб. | стоимость 21798680.62 | K=39%
[iter  5097] ✓ улучшение 3447.42 руб. | стоимость 21795233.20 | K=42%
[iter  5099] ✓ улучшение 0.00 руб. | стоимость 21795233.20 | K=41%
[iter  5149] ✓ улучшение 0.00 руб. | стоимость 21795233.20 | K=40%
[iter  5250] ✓ улучшение 4117.71 руб. | стоимость 21791115.49 | K=43%
[iter  5307] ✓ улучшение 0.00 руб. | стоимость 21791115.49 | K=44%
[iter  5358] ✓ улучшение 27471.84 руб. | стоимость 21763643.65 | K=45%
[iter  5359] ✓ улучшение 17802.00 руб. | стоимость 21745841.65 | K=44%
[iter  5460] ✓ улучшение 1626.00 руб. | стоимость 21744215.65 | K=47%
[iter  5488] ✓ улучшение 0.00 руб. | стоимость 21744215.65 | K=46%
[iter  5539] ✓ улучшение 551.00 руб. | стоимость 21743664.65 | K=47%
[iter  5540] ✓ улучшение 0.00 руб. | стоимость 21743664.65 | K=46%
[iter  5541] ✓ улучшение 360.00 руб. | стоимость 21743304.65 | K=45%
[iter  5542] ✓ улучшение 0.00 руб. | стоимость 21743304.65 | K=44%
[iter  5543] ✓ улучшение 0.00 руб. | стоимость 21743304.65 | K=43%
[iter  5695] ✓ улучшение 5466.00 руб. | стоимость 21737838.65 | K=48%
[iter  5699] ✓ улучшение 1822.00 руб. | стоимость 21736016.65 | K=47%
[iter  5700] ✓ улучшение 0.00 руб. | стоимость 21736016.65 | K=46%
[iter  5701] ✓ улучшение 0.00 руб. | стоимость 21736016.65 | K=45%
[iter  5743] ✓ улучшение 0.00 руб. | стоимость 21736016.65 | K=44%
[iter  6103] ✓ улучшение 0.00 руб. | стоимость 21736016.65 | K=49%
--- ALNS ФИНИШ ---
Итераций:            7833
Улучшений:           161
Лучшая стоимость:    21736016.65 руб.
Затрачено:           300.1 сек.
Финальный K:         50%
------------------
Записей для отправки в АПИ:  278
Чекпоинт сохранён:           tmp/checkpoint_2026-04-01_18-47-37.xlsx
Назначения отправлены в АПИ: OK

======= РЕЗУЛЬТАТЫ ОПТИМИЗАЦИИ =======
Статус решателя:      ALNS (7833 итер., 161 улучш., 300.1 сек.)
Назначено вагонов:    886
Неудовл. спрос:       2281 ваг. (dummy-предложение)
Суммарная стоимость:  21736017 руб.
======================================

Результат сохранён:          tmp/result_20260401_184739.json
[SUCCESS] railoptim завершил работу успешно.
